丈夫	个 [ge4]
三明治	个 [ge4]
上午	个 [ge4]
上级	个 [ge4]
上衣	件 [jian4]
下午	个 [ge4]
下巴	个 [ge4]
不幸	个 [ge4]
世界	个 [ge4]
世纪	个 [ge4]
中午	个 [ge4]
中学	个 [ge4]
中山服	件 [jian4]
中厅	间 [jian1]
中心	个 [ge4]
中药	服 [fu4], 种 [zhong3]
中餐	份 [fen4], 顿 [dun4]
主人	个 [ge4]
主任	个 [ge4]
主席	个 [ge4], 位 [wei4]
主席台	个 [ge4]
主张	个 [ge4]
主意	个 [ge4]
乒乓球	个 [ge4]
干冰	块 [kuai4]
干笑	声 [sheng1]
事	件 [jian4], 桩 [zhuang1], 回 [hui2]
事件	个 [ge4]
事儿	件 [jian4], 桩 [zhuang1]
事实	个 [ge4]
事情	件 [jian4], 桩 [zhuang1]
事故	桩 [zhuang1], 起 [qi3], 次 [ci4]
事业	个 [ge4]
事物	个 [ge4]
二胡	把 [ba3]
井	口 [kou3]
交易	笔 [bi3]
享受	种 [zhong3]
京剧	场 [chang3], 出 [chu1]
京戏	出 [chu1]
人	个 [ge4], 位 [wei4]
人命	条 [tiao2]
人员	个 [ge4]
人家	户 [hu4], 家 [jia1]
人民	个 [ge4]
人物	个 [ge4]
代表	位 [wei4], 个 [ge4], 名 [ming2]
代表团	个 [ge4]
任务	项 [xiang4], 个 [ge4]
任命	纸 [zhi3]
任期	届 [jie4]
企图	种 [zhong3]
企业	家 [jia1]
伯母	个 [ge4]
伯父	个 [ge4]
估计	个 [ge4]
位置	个 [ge4]
住宅楼	幢 [zhuang4], 座 [zuo4], 栋 [dong4]
住所	处 [chu4]
佛像	尊 [zun1], 张 [zhang1]
作品	部 [bu4], 篇 [pian1]
作家	个 [ge4], 位 [wei4]
作文	篇 [pian1]
作业	个 [ge4]
作者	个 [ge4]
例子	个 [ge4]
便条	张 [zhang1], 个 [ge4]
便签	张 [zhang1], 个 [ge4]
保证	个 [ge4]
保护	种 [zhong3]
保护区	个 [ge4], 片 [pian4]
保险	份 [fen4]
保险套	只 [zhi1]
信	封 [feng1]
信封	个 [ge4]
信心	个 [ge4]
信用证券	张 [zhang1]
俱乐部	个 [ge4]
候选人	名 [ming2]
假条	张 [zhang1]
偏题	道 [dao4]
做法	个 [ge4]
伞	把 [ba3]
传统	个 [ge4]
传记	篇 [pian1], 部 [bu4]
债	笔 [bi3]
伤疤	道 [dao4]
价值	个 [ge4]
价格	个 [ge4]
仪器	台 [tai2]
优点	个 [ge4], 项 [xiang4]
储藏室	间 [jian1]
兄弟	个 [ge4]
先生	位 [wei4]
光	道 [dao4]
光盘	片 [pian4], 张 [zhang1]
光碟	片 [pian4], 张 [zhang1]
光线	条 [tiao2], 道 [dao4]
儿童	个 [ge4]
兔子	只 [zhi1]
内容	个 [ge4], 项 [xiang4]
内衣	件 [jian4]
全会	届 [jie4]
公交车	辆 [liang4]
公仆	个 [ge4], 位 [wei4]
公共汽车	辆 [liang4], 班 [ban1]
公司	家 [jia1]
公园	个 [ge4], 座 [zuo4]
公堂	家 [jia1]
公寓	套 [tao4]
公寓楼	座 [zuo4]
公用电话	部 [bu4]
公路	条 [tiao2]
兵	个 [ge4]
冠军	个 [ge4]
冬天	个 [ge4]
冰	块 [kuai4]
冰山	座 [zuo4]
冰棍	根 [gen1]
冰棒	根 [gen1]
冰箱	台 [tai2], 个 [ge4]
冰雹	场 [chang2], 粒 [li4]
出口	个 [ge4]
出生证	张 [zhang1]
出生证明	张 [zhang1]
出生证明书	张 [zhang1]
出租汽车	辆 [liang4]
刀	把 [ba3]
刀叉	副 [fu4]
刀子	把 [ba3]
分析	个 [ge4]
分机	台 [tai2]
别墅	幢 [zhuang4], 座 [zuo4]
别针	枚 [mei2]
利息	笔 [bi3]
利益	个 [ge4]
制度	个 [ge4]
制服	套 [tao4]
刷子	把 [ba3]
剪	把 [ba3]
剪刀	把 [ba3]
剪子	把 [ba3]
副食	种 [zhong3]
创作	个 [ge4]
剧场	个 [ge4]
剧院	家 [jia1], 座 [zuo4]
剑	口 [kou3], 把 [ba3]
力气	把 [ba3]
功课	门 [men2]
劲	把 [ba3]
动作	个 [ge4]
动作片	部 [bu4]
动员	次 [ci4]
动物	只 [zhi1], 群 [qun2], 个 [ge4]
动物园	个 [ge4]
胜利	个 [ge4]
劳动	次 [ci4]
劝告	席 [xi2]
勺	把 [ba3]
勺子	把 [ba3]
包	个 [ge4], 只 [zhi1]
包子	个 [ge4]
包裹	个 [ge4]
区	个 [ge4]
区别	个 [ge4]
午饭	份 [fen4], 顿 [dun4], 次 [ci4], 餐 [can1]
午餐	份 [fen4], 顿 [dun4], 次 [ci4]
半天	个 [ge4]
协会	个 [ge4], 家 [jia1]
